x;y
0;0
0.1;0
0.2;0.0000301604
0.3;0.00110602
0.5;0.0321986
0.6;0.0782654
0.7;0.14573
0.8;0.226896
0.9;0.311445
1;0.389919
1.1;0.455567
1.2;0.504744
1.3;0.536473
1.4;0.551688
1.5;0.552475
1.6;0.541454
1.7;0.521346
1.8;0.4947
1.9;0.463745
2;0.430334
2.2;0.361691
2.4;0.296665
2.6;0.239117
2.8;0.190341
2.9;0.169226
3;0.150177
3.2;0.117758
3.4;0.0919531
3.6;0.0716138
3.8;0.0556913
4;0.0432843
4.2;0.0336456
4.4;0.0261708
4.6;0.0203787
4.8;0.0158911
5;0.0124124
5.5;0.0067498
6;0.00372038
6.5;0.00208031
7;0.00118037
7.5;0.000679527
8;0.000396779
8.5;0.000234879
9;0.000140887
9.5;0.0000855841
10;0.0000526223
10.5;0.0000327316
11;0.0000205854
