;0
0.5°C;0.0014072432269060364
1°C;0.031074361660468106
1.5°C;0.10445517883756826
2°C;0.16006854286270353
2.5°C;0.16914070323368408
3°C;0.14719885715912165
3.5°C;0.11491910706177715
4°C;0.08420737511751514
4.5°C;0.059421784752402625
5°C;0.041009718471187936
5.5°C;0.02794865493685822
6°C;0.01892662732870392
6.5°C;0.012788254398325542
7°C;0.008644961377993511
7.5°C;0.005857770197700206
8°C;0.00398349106370545
8.5°C;0.0027209472782278197
9°C;0.0018678472083831618
9.5°C;0.0012890817714894785
10°C;0.0008945736876588709
