Temperature Rise,Warming Category,"""Climate Change""  ""X°C"""
1.0 °C,Low Warming (1.0-2.5 °C),1220000
1.5 °C,Low Warming (1.0-2.5 °C),88900
2.0 °C,Low Warming (1.0-2.5 °C),1300000
2.5 °C,Low Warming (1.0-2.5 °C),31300
3.0 °C,Intermediate Warming (3.0-4.5 °C),939000
3.5 °C,Intermediate Warming (3.0-4.5 °C),19000
4.0 °C,Intermediate Warming (3.0-4.5 °C),1050000
4.5 °C,Intermediate Warming (3.0-4.5 °C),17800
5.0 °C,High Warming (5.0-6.5 °C),716000
5.5 °C,High Warming (5.0-6.5 °C),8060
6.0 °C,High Warming (5.0-6.5 °C),277000
6.5 °C,High Warming (5.0-6.5 °C),6930
7.0 °C,Very High Warming (7.0-10.0 °C),159000
7.5 °C,Very High Warming (7.0-10.0 °C),5750
8.0 °C,Very High Warming (7.0-10.0 °C),169000
8.5 °C,Very High Warming (7.0-10.0 °C),4330
9.0 °C,Very High Warming (7.0-10.0 °C),86700
9.5 °C,Very High Warming (7.0-10.0 °C),3640
10.0 °C,Very High Warming (7.0-10.0 °C),383000
