x;y
0;0
0.1;0
0.2;0
0.3;0
0.5;0.000170085
0.6;0.000752012
0.7;0.00232211
0.8;0.00560344
0.9;0.0113204
1;0.0200264
1.1;0.0319893
1.2;0.0471545
1.3;0.0651731
1.4;0.0854721
1.5;0.107341
1.6;0.130013
1.7;0.152738
1.8;0.174831
1.9;0.195707
2;0.214897
2.2;0.246938
2.4;0.269473
2.6;0.282441
2.8;0.286721
2.9;0.286025
3;0.283696
3.2;0.274924
3.4;0.261929
3.6;0.246076
3.8;0.228513
4;0.210161
4.2;0.191726
4.4;0.173726
4.6;0.156521
4.8;0.140346
5;0.125336
5.5;0.0931833
6;0.0683336
6.5;0.0496869
7;0.0359536
7.5;0.0259569
8;0.0187313
8.5;0.0135288
9;0.00978909
9.5;0.00710091
10;0.0051664
10.5;0.00377152
11;0.00276315
