;0
0.5°C;0.0003386623280450987
1°C;0.011672626738261745
1.5°C;0.05409103649833451
2°C;0.1064007550669076
2.5°C;0.13735534032757685
3°C;0.14109913248943007
3.5°C;0.12684773016200357
4°C;0.10506992268309047
4.5°C;0.08262431342874507
5°C;0.0628287181246958
5.5°C;0.04674581265548349
6°C;0.03429635083056643
6.5°C;0.02494559570224994
7°C;0.018054215360433182
7.5°C;0.013035744938517045
8°C;0.00940742143299824
8.5°C;0.006794577813739652
9°C;0.004916223657292927
9.5°C;0.0035659963150885252
10°C;0.0025942960908528455
